Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Compatible Devices (product.metafields.product.compatible_devices),Age group (product.metafields.shopify.age-group),Case type (product.metafields.shopify.case-type),Color (product.metafields.shopify.color-pattern),Earphone features (product.metafields.shopify.earphone-features),Electronic game genre (product.metafields.shopify.electronic-game-genre),MagSafe compatibility (product.metafields.shopify.magsafe-compatibility),Mobile phone case features (product.metafields.shopify.mobile-phone-case-features),Personalization options (product.metafields.shopify.personalization-options),Recommended age group (product.metafields.shopify.recommended-age-group),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
samsung-galaxy-a40-smart-android-phone-global-version-5-9-inch-amoled-1080-2340-25mp-samsung-smartphone-3100mah-unlocking,Samsung Galaxy A40 Smart Android Phone Global Version 5.9-inch AMOLED 1080 * 2340 25MP Samsung Smartphone 3100mAh Unlocking,"<h1>SPECIFICATIONS</h1><p><span>3.5mm Headphone Port</span>: <span style=""color:#333"">Yes</span></p><p><span>Battery Capacity Range</span>: <span style=""color:#333"">&lt;3000 mAh</span></p><p><span>Battery Capacity(mAh)</span>: <span style=""color:#333"">3100</span></p><p><span>Battery Type</span>: <span style=""color:#333"">Not Detachable</span></p><p><span>Biometrics Technology</span>: <span style=""color:#333"">Fingerprint Recognition</span></p><p><span>Bluetooth Version</span>: <span style=""color:#333"">YES</span></p><p><span>Brand Name</span>: <span style=""color:#333"">SAMSUNG</span></p><p><span>Built in radiator</span>: <span style=""color:#333"">No</span></p><p><span>Built-in GPS</span>: <span style=""color:#333"">Yes</span></p><p><span>CPU Model</span>: <span style=""color:#333"">Samsung</span></p><p><span>Cellular</span>: <span style=""color:#333"">3G,2 G,4G</span></p><p><span>Certification</span>: <span style=""color:#333"">CE</span></p><p><span>Charging Interface Type</span>: <span style=""color:#333"">Type-C</span></p><p><span>Charging Power</span>: <span style=""color:#333"">Other</span></p><p><span>Choice</span>: <span style=""color:#333"">yes</span></p><p><span>Design</span>: <span style=""color:#333"">Flip</span></p><p><span>Display Resolution</span>: <span style=""color:#333"">1080x2340</span></p><p><span>Display Size</span>: <span style=""color:#333"">5.9</span></p><p><span>Fast Charging</span>: <span style=""color:#333"">Nonsupport</span></p><p><span>Front Camera Pixel</span>: <span style=""color:#333"">25MP</span></p><p><span>Front Camera Quantity</span>: <span style=""color:#333"">1</span></p><p><span>High-concerned chemical</span>: <span style=""color:#333"">None</span></p><p><span>IP68/IP69K</span>: <span style=""color:#333"">No</span></p><p><span>Item Condition</span>: <span style=""color:#333"">Refurbished</span></p><p><span>Language</span>: <span style=""color:#333"">Arabic,Polish,German,Russian,French,Korean,Norwegian,Portuguese,Japanese,Turkish,Spanish,Italian,English</span></p><p><span>MIL-STD-810G</span>: <span style=""color:#333"">No</span></p><p><span>NFC</span>: <span style=""color:#333"">No</span></p><p><span>Operation System</span>: <span style=""color:#333"">Android</span></p><p><span>Origin</span>: <span style=""color:#333"">Hk(origin)</span></p><p><span>Rear Camera Pixel</span>: <span style=""color:#333"">5 MP,16MP</span></p><p><span>Rear Camera Quantity</span>: <span style=""color:#333"">2</span></p><p><span>Refurbished item grade</span>: <span style=""color:#333"">Excellent</span></p><p><span>SIM Card Quantity</span>: <span style=""color:#333"">1 SIM Card</span></p><p><span>Samsung Model</span>: <span style=""color:#333"">Samsung Galaxy A40</span></p><p><span>Screen Material</span>: <span style=""color:#333"">AMOLED</span></p><p><span>Screen Type</span>: <span style=""color:#333"">Normal Screen</span></p><p><span>Touch Screen</span>: <span style=""color:#333"">Yes</span></p><p><span>WIFI</span>: <span style=""color:#333"">Yes</span></p><p><span>Wireless Charging</span>: <span style=""color:#333"">No</span></p><p><span>black</span>: <span style=""color:#333"">Samsung Galaxy A40</span></p><p><span>white</span>: <span style=""color:#333"">Samsung Galaxy A40</span></p>",My Store,Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones,"","",false,Color,black,,ROM,64G,,Version|Bundle,Global Version|Only mobile phones,,14:193#black;200000828:200003982#Only mobile phones;200281263:200005426;289149189:4763630823,484.0,dsers-fulfillment-service,continue,dsers-fulfillment-service,204.44,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/Sbcfeafea7c284cfba962235be1ac8c82P.webp?v=1765812161,1,"",false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/S7dab9889e4744a329bff4272a9528e8e5.webp?v=1765812161,kg,,97.45,draft
samsung-galaxy-a40-smart-android-phone-global-version-5-9-inch-amoled-1080-2340-25mp-samsung-smartphone-3100mah-unlocking,,,,,,,,,black,,,64G,,,Global Version|Official Standard,,14:193#black;200000828:248674081;200281263:200005426;289149189:4763630823,484.0,dsers-fulfillment-service,continue,dsers-fulfillment-service,108.58,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/S157680f0d797401da92e5c8748e71442t.webp?v=1765812161,2,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/S7dab9889e4744a329bff4272a9528e8e5.webp?v=1765812161,kg,,101.42,
samsung-galaxy-a40-smart-android-phone-global-version-5-9-inch-amoled-1080-2340-25mp-samsung-smartphone-3100mah-unlocking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/Sd395d193a6a54baeb19a1bee908b92d40.webp?v=1765812161,3,"",,,,,,,,,,,,,,,,,,,,,,,
samsung-galaxy-a40-smart-android-phone-global-version-5-9-inch-amoled-1080-2340-25mp-samsung-smartphone-3100mah-unlocking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/S0ccc770691524957b652c8058e763570P.webp?v=1765812161,4,"",,,,,,,,,,,,,,,,,,,,,,,
samsung-galaxy-a40-smart-android-phone-global-version-5-9-inch-amoled-1080-2340-25mp-samsung-smartphone-3100mah-unlocking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/Sb51323c4eac5426bbeff3f354da9b343W.webp?v=1765812161,5,"",,,,,,,,,,,,,,,,,,,,,,,
samsung-galaxy-a40-smart-android-phone-global-version-5-9-inch-amoled-1080-2340-25mp-samsung-smartphone-3100mah-unlocking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/S7dab9889e4744a329bff4272a9528e8e5.webp?v=1765812161,6,"",,,,,,,,,,,,,,,,,,,,,,,
fuffi-s24-pro-smartphone-cellphone-android-12-6-8inch-screen-8-256gb-16-32mp-mobile-phone-4100mah-google-play-store-phone,"FUFFI S24 Pro Smartphone Cellphone Android 12 6.8inch Screen,8+256GB 16+32MP Mobile phone 4100mAh Google Play Store Phone","<h1>SPECIFICATIONS</h1><p><span>3.5mm Headphone Port</span>: <span style=""color:#333"">No</span></p><p><span>Battery Capacity(mAh)</span>: <span style=""color:#333"">4100</span></p><p><span>Battery Type</span>: <span style=""color:#333"">Not Detachable</span></p><p><span>Biometrics Technology</span>: <span style=""color:#333"">Face Recognition</span></p><p><span>Brand Name</span>: <span style=""color:#333"">fuffi</span></p><p><span>Built in radiator</span>: <span style=""color:#333"">No</span></p><p><span>Built-in GPS</span>: <span style=""color:#333"">Yes</span></p><p><span>Charging Interface Type</span>: <span style=""color:#333"">Type-C</span></p><p><span>Charging Power</span>: <span style=""color:#333"">18W</span></p><p><span>Design</span>: <span style=""color:#333"">Flip</span></p><p><span>Display Resolution</span>: <span style=""color:#333"">2340x1080</span></p><p><span>Display Size</span>: <span style=""color:#333"">6.8</span></p><p><span>Fast Charging</span>: <span style=""color:#333"">Adaptive Fast Charge</span></p><p><span>Front Camera Pixel</span>: <span style=""color:#333"">16MP</span></p><p><span>Front Camera Quantity</span>: <span style=""color:#333"">1</span></p><p><span>High-concerned chemical</span>: <span style=""color:#333"">None</span></p><p><span>Item Condition</span>: <span style=""color:#333"">New</span></p><p><span>Language</span>: <span style=""color:#333"">Arabic,Polish,German,Russian,French,Korean,Norwegian,Portuguese,Japanese,Turkish,Spanish,Italian,English</span></p><p><span>NFC</span>: <span style=""color:#333"">No</span></p><p><span>Operation System</span>: <span style=""color:#333"">Android</span></p><p><span>Origin</span>: <span style=""color:#333"">Mainland China</span></p><p><span>Rear Camera Pixel</span>: <span style=""color:#333"">≈ 32 MP</span></p><p><span>Rear Camera Quantity</span>: <span style=""color:#333"">1</span></p><p><span>SIM Card Quantity</span>: <span style=""color:#333"">2 SIM Card</span></p><p><span>Screen Refresh Rate</span>: <span style=""color:#333"">60 Hz</span></p><p><span>Screen Type</span>: <span style=""color:#333"">Full Screen</span></p><p><span>Touch Screen</span>: <span style=""color:#333"">Yes</span></p><p><span>WIFI</span>: <span style=""color:#333"">Yes</span></p><p><span>Wireless Charging</span>: <span style=""color:#333"">No</span></p>",My Store,Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones,"","",false,Color,Grey,,Bundle,6GB  128GB,,,,,14:175#Grey;200000828:200003982#6GB  128GB,500.0,dsers-fulfillment-service,continue,dsers-fulfillment-service,178.81,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/Sd4591aa36ae742c4bdef213a7ff35523T.webp?v=1765812163,1,"",false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/Se6459d63acdc4e7db95e8c9a63557d79s.webp?v=1765812162,kg,,73.81,draft
fuffi-s24-pro-smartphone-cellphone-android-12-6-8inch-screen-8-256gb-16-32mp-mobile-phone-4100mah-google-play-store-phone,,,,,,,,,Purple,,,6GB  128GB,,,,,14:10#Purple;200000828:200003982#6GB  128GB,500.0,dsers-fulfillment-service,continue,dsers-fulfillment-service,178.81,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/S18916d566f5f4d5487dd72e4da67fcfco.webp?v=1765812163,2,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/S095e109e58954d2ebae17a6225841805d.webp?v=1765812163,kg,,73.81,
fuffi-s24-pro-smartphone-cellphone-android-12-6-8inch-screen-8-256gb-16-32mp-mobile-phone-4100mah-google-play-store-phone,,,,,,,,,Black,,,6GB  128GB,,,,,14:29#Black;200000828:200003982#6GB  128GB,500.0,dsers-fulfillment-service,continue,dsers-fulfillment-service,178.81,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/Sba9ccef09a71463ebc9b7e29258a9a29E.webp?v=1765812163,3,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/S93c0301b14fa4f6aa20866e82edb49edT.webp?v=1765812163,kg,,73.81,
fuffi-s24-pro-smartphone-cellphone-android-12-6-8inch-screen-8-256gb-16-32mp-mobile-phone-4100mah-google-play-store-phone,,,,,,,,,Silver,,,6GB  128GB,,,,,14:193#Silver;200000828:200003982#6GB  128GB,500.0,dsers-fulfillment-service,continue,dsers-fulfillment-service,178.81,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/S1190347d4cbb4777b233a18645b062d7G.webp?v=1765812162,4,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0715/6816/2972/files/Sef58089e94f1435f906d1cc26dfea2ccF.webp?v=1765812163,kg,,73.81,
